class,confidence_prediction,confidence_threshold,true_label,correct
xiaomi_mijia_led,0.49,0.7089134225457209,irobot_roomba,False
irobot_roomba,0.64,0.7039889751178636,irobot_roomba,True
irobot_roomba,0.42,0.7039889751178636,irobot_roomba,True
link_japan_eremote,0.55,0.7354424401961304,irobot_roomba,False
xiaomi_mijia_led,0.23,0.7089134225457209,irobot_roomba,False
irobot_roomba,0.45,0.7039889751178636,irobot_roomba,True
qrio_hub,0.78,0.9070117025885958,irobot_roomba,False
qrio_hub,0.6,0.9070117025885958,irobot_roomba,False
irobot_roomba,0.6,0.7039889751178636,irobot_roomba,True
irobot_roomba,0.54,0.7039889751178636,irobot_roomba,True
irobot_roomba,0.47,0.7039889751178636,irobot_roomba,True
xiaomi_mijia_led,0.59,0.7089134225457209,irobot_roomba,False
candy_house_sesami_wi-fi_access_point,0.6200477652848343,0.9275888296362337,irobot_roomba,False
irobot_roomba,0.57,0.7039889751178636,irobot_roomba,True
irobot_roomba,0.65,0.7039889751178636,irobot_roomba,True
nature_remo,0.62,0.6484045534354725,irobot_roomba,False
link_japan_eremote,0.35,0.7354424401961304,irobot_roomba,False
irobot_roomba,0.59,0.7039889751178636,irobot_roomba,True
xiaomi_mijia_led,0.58,0.7089134225457209,irobot_roomba,False
xiaomi_mijia_led,0.68,0.7089134225457209,irobot_roomba,False
nature_remo,0.45,0.6484045534354725,irobot_roomba,False
irobot_roomba,0.46,0.7039889751178636,irobot_roomba,True
irobot_roomba,0.3886034266894493,0.7039889751178636,irobot_roomba,True
irobot_roomba,0.42,0.7039889751178636,irobot_roomba,True
irobot_roomba,0.44,0.7039889751178636,irobot_roomba,True
irobot_roomba,0.3299118592240782,0.7039889751178636,irobot_roomba,True
nature_remo,0.41,0.6484045534354725,irobot_roomba,False
xiaomi_mijia_led,0.3994395653602652,0.7089134225457209,irobot_roomba,False
nature_remo,0.41,0.6484045534354725,irobot_roomba,False
nature_remo,0.62,0.6484045534354725,irobot_roomba,False
irobot_roomba,0.69,0.7039889751178636,irobot_roomba,True
xiaomi_mijia_led,0.63,0.7089134225457209,irobot_roomba,False
irobot_roomba,0.43,0.7039889751178636,irobot_roomba,True
nature_remo,0.38,0.6484045534354725,irobot_roomba,False
link_japan_eremote,0.6,0.7354424401961304,irobot_roomba,False
irobot_roomba,0.62,0.7039889751178636,irobot_roomba,True
xiaomi_mijia_led,0.41,0.7089134225457209,irobot_roomba,False
xiaomi_mijia_led,0.56,0.7089134225457209,irobot_roomba,False
irobot_roomba,0.58,0.7039889751178636,irobot_roomba,True
irobot_roomba,0.67,0.7039889751178636,irobot_roomba,True
nature_remo,0.61,0.6484045534354725,irobot_roomba,False
nature_remo,0.52,0.6484045534354725,irobot_roomba,False
link_japan_eremote,0.45,0.7354424401961304,irobot_roomba,False
irobot_roomba,0.3,0.7039889751178636,irobot_roomba,True
nature_remo,0.41,0.6484045534354725,irobot_roomba,False
nature_remo,0.44,0.6484045534354725,irobot_roomba,False
xiaomi_mijia_led,0.52,0.7089134225457209,irobot_roomba,False
irobot_roomba,0.41,0.7039889751178636,irobot_roomba,True
irobot_roomba,0.52,0.7039889751178636,irobot_roomba,True
xiaomi_mijia_led,0.59,0.7089134225457209,irobot_roomba,False
irobot_roomba,0.46,0.7039889751178636,irobot_roomba,True
nature_remo,0.58,0.6484045534354725,irobot_roomba,False
xiaomi_mijia_led,0.33989910819782,0.7089134225457209,irobot_roomba,False
nature_remo,0.32,0.6484045534354725,irobot_roomba,False
irobot_roomba,0.35,0.7039889751178636,irobot_roomba,True
nature_remo,0.29,0.6484045534354725,irobot_roomba,False
link_japan_eremote,0.67,0.7354424401961304,irobot_roomba,False
irobot_roomba,0.48,0.7039889751178636,irobot_roomba,True
xiaomi_mijia_led,0.56,0.7089134225457209,irobot_roomba,False
qrio_hub,0.58,0.9070117025885958,irobot_roomba,False
irobot_roomba,0.61,0.7039889751178636,irobot_roomba,True
irobot_roomba,0.48,0.7039889751178636,irobot_roomba,True
nature_remo,0.38,0.6484045534354725,irobot_roomba,False
