class,confidence_prediction,confidence_threshold,true_label,correct
link_japan_eremote,0.38,0.7354424401961304,irobot_roomba,False
xiaomi_mijia_led,0.4,0.7089134225457209,irobot_roomba,False
powerelectric_wi-fi_plug,0.64371942268808,0.8279243017319668,irobot_roomba,False
candy_house_sesami_wi-fi_access_point,0.6200477652848343,0.9275888296362337,irobot_roomba,False
sony_bravia,0.33,0.9563090531980772,irobot_roomba,False
link_japan_eremote,0.66,0.7354424401961304,irobot_roomba,False
link_japan_eremote,0.66,0.7354424401961304,irobot_roomba,False
qrio_hub,0.41,0.9070117025885958,irobot_roomba,False
xiaomi_mijia_led,0.44,0.7089134225457209,irobot_roomba,False
qrio_hub,0.49,0.9070117025885958,irobot_roomba,False
link_japan_eremote,0.42,0.7354424401961304,irobot_roomba,False
link_japan_eremote,0.41,0.7354424401961304,irobot_roomba,False
qrio_hub,0.49,0.9070117025885958,irobot_roomba,False
qrio_hub,0.33,0.9070117025885958,irobot_roomba,False
xiaomi_mijia_led,0.44,0.7089134225457209,irobot_roomba,False
nature_remo,0.4,0.6484045534354725,irobot_roomba,False
xiaomi_mijia_led,0.43,0.7089134225457209,irobot_roomba,False
irobot_roomba,0.59,0.7039889751178636,irobot_roomba,True
xiaomi_mijia_led,0.45,0.7089134225457209,irobot_roomba,False
link_japan_eremote,0.46,0.7354424401961304,irobot_roomba,False
xiaomi_mijia_led,0.42,0.7089134225457209,irobot_roomba,False
nature_remo,0.45,0.6484045534354725,irobot_roomba,False
qrio_hub,0.39,0.9070117025885958,irobot_roomba,False
qrio_hub,0.32,0.9070117025885958,irobot_roomba,False
qrio_hub,0.55,0.9070117025885958,irobot_roomba,False
xiaomi_mijia_led,0.4,0.7089134225457209,irobot_roomba,False
qrio_hub,0.37,0.9070117025885958,irobot_roomba,False
xiaomi_mijia_led,0.45,0.7089134225457209,irobot_roomba,False
link_japan_eremote,0.32,0.7354424401961304,irobot_roomba,False
xiaomi_mijia_led,0.45,0.7089134225457209,irobot_roomba,False
link_japan_eremote,0.49,0.7354424401961304,irobot_roomba,False
nature_remo,0.52,0.6484045534354725,irobot_roomba,False
xiaomi_mijia_led,0.4,0.7089134225457209,irobot_roomba,False
qrio_hub,0.32,0.9070117025885958,irobot_roomba,False
qrio_hub,0.45,0.9070117025885958,irobot_roomba,False
nature_remo,0.38,0.6484045534354725,irobot_roomba,False
xiaomi_mijia_led,0.37,0.7089134225457209,irobot_roomba,False
xiaomi_mijia_led,0.45,0.7089134225457209,irobot_roomba,False
qrio_hub,0.37,0.9070117025885958,irobot_roomba,False
link_japan_eremote,0.27,0.7354424401961304,irobot_roomba,False
qrio_hub,0.45,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.32,0.9070117025885958,irobot_roomba,False
qrio_hub,0.53,0.9070117025885958,irobot_roomba,False
xiaomi_mijia_led,0.41,0.7089134225457209,irobot_roomba,False
link_japan_eremote,0.35,0.7354424401961304,irobot_roomba,False
nature_remo,0.29,0.6484045534354725,irobot_roomba,False
qrio_hub,0.35,0.9070117025885958,irobot_roomba,False
qrio_hub,0.45,0.9070117025885958,irobot_roomba,False
qrio_hub,0.47,0.9070117025885958,irobot_roomba,False
qrio_hub,0.38,0.9070117025885958,irobot_roomba,False
nature_remo,0.44,0.6484045534354725,irobot_roomba,False
irobot_roomba,0.15,0.7039889751178636,irobot_roomba,True
irobot_roomba,0.39,0.7039889751178636,irobot_roomba,True
link_japan_eremote,0.4,0.7354424401961304,irobot_roomba,False
link_japan_eremote,0.58,0.7354424401961304,irobot_roomba,False
qrio_hub,0.31,0.9070117025885958,irobot_roomba,False
qrio_hub,0.32,0.9070117025885958,irobot_roomba,False
qrio_hub,0.49,0.9070117025885958,irobot_roomba,False
nature_remo,0.35,0.6484045534354725,irobot_roomba,False
qrio_hub,0.43,0.9070117025885958,irobot_roomba,False
xiaomi_mijia_led,0.5,0.7089134225457209,irobot_roomba,False
xiaomi_mijia_led,0.35,0.7089134225457209,irobot_roomba,False
nature_remo,0.56,0.6484045534354725,irobot_roomba,False
link_japan_eremote,0.48,0.7354424401961304,irobot_roomba,False
irobot_roomba,0.65,0.7039889751178636,irobot_roomba,True
link_japan_eremote,0.44,0.7354424401961304,irobot_roomba,False
qrio_hub,0.47,0.9070117025885958,irobot_roomba,False
nature_remo,0.31,0.6484045534354725,irobot_roomba,False
irobot_roomba,0.35,0.7039889751178636,irobot_roomba,True
link_japan_eremote,0.55,0.7354424401961304,irobot_roomba,False
nature_remo,0.4,0.6484045534354725,irobot_roomba,False
qrio_hub,0.54,0.9070117025885958,irobot_roomba,False
nature_remo,0.28,0.6484045534354725,irobot_roomba,False
xiaomi_mijia_led,0.35,0.7089134225457209,irobot_roomba,False
qrio_hub,0.25,0.9070117025885958,irobot_roomba,False
xiaomi_mijia_led,0.42,0.7089134225457209,irobot_roomba,False
nature_remo,0.42,0.6484045534354725,irobot_roomba,False
qrio_hub,0.38,0.9070117025885958,irobot_roomba,False
qrio_hub,0.41,0.9070117025885958,irobot_roomba,False
link_japan_eremote,0.47,0.7354424401961304,irobot_roomba,False
irobot_roomba,0.27,0.7039889751178636,irobot_roomba,True
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
irobot_roomba,0.53,0.7039889751178636,irobot_roomba,True
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.69,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
xiaomi_mijia_led,0.26,0.7089134225457209,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.31,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.35,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
qrio_hub,0.36,0.9070117025885958,irobot_roomba,False
