,REFTYPE,SESSION_IDENTIFIER,FRAME,WORLDPOSX,WORLDPOSY,WORLDPOSZ
0,RIGHT,14023301428294605882,4227,-239.7207489013672,225.08001708984372,3.699864149093628
1,RIGHT,14023301428294605882,4228,-240.6643524169922,225.86932373046875,3.695899963378906
2,RIGHT,14023301428294605882,4229,-241.3723602294922,226.4614715576172,3.692850589752197
3,RIGHT,14023301428294605882,4230,-242.0813446044922,227.05462646484372,3.6900386810302734
4,RIGHT,14023301428294605882,4231,-242.7888641357422,227.64642333984372,3.6874899864196777
5,RIGHT,14023301428294605882,4232,-243.73480224609372,228.43621826171875,3.6844189167022714
6,RIGHT,14023301428294605882,4233,-244.4444122314453,229.0267639160156,3.682300567626953
7,RIGHT,14023301428294605882,4234,-245.1572265625,229.6175537109375,3.680736780166626
8,RIGHT,14023301428294605882,4235,-246.1077880859375,230.40060424804688,3.6787126064300537
9,RIGHT,14023301428294605882,4236,-246.8246154785156,230.9864654541016,3.677064657211304
10,RIGHT,14023301428294605882,4237,-247.78163146972656,231.7606506347656,3.674882888793945
11,RIGHT,14023301428294605882,4423,-387.2040710449219,231.174560546875,3.4428443908691406
12,RIGHT,14023301428294605882,4421,-386.5088195800781,231.1385498046875,3.43835186958313
13,RIGHT,14023301428294605882,4424,-387.6708679199219,231.2122039794922,3.4458353519439697
14,RIGHT,14023301428294605882,4425,-388.0229187011719,231.2484130859375,3.4473767280578613
15,RIGHT,14023301428294605882,2833,326.1789245605469,-821.7822875976562,3.2031681537628174
16,RIGHT,14023301428294605882,2834,325.22515869140625,-822.2188110351562,3.199337959289551
17,RIGHT,14023301428294605882,587,-164.25723266601562,719.0467529296875,2.7111775875091557
18,RIGHT,14023301428294605882,588,-163.3367919921875,718.170166015625,2.715054512023926
19,RIGHT,14023301428294605882,768,62.62156295776367,499.7762145996094,3.3445560932159424
20,RIGHT,14023301428294605882,769,64.26985168457031,498.1927490234375,3.33014178276062
21,RIGHT,14023301428294605882,770,65.50366973876953,497.0076904296875,3.319662094116211
22,RIGHT,14023301428294605882,1617,626.1552124023438,-215.6139373779297,2.9193267822265625
23,RIGHT,14023301428294605882,1619,627.0565795898438,-216.8525238037109,2.9206509590148926
24,RIGHT,14023301428294605882,7,109.94334411621094,467.951904296875,3.1369144916534424
25,RIGHT,14023301428294605882,8,109.94334411621094,467.951904296875,3.1369144916534424
26,RIGHT,14023301428294605882,9,109.94334411621094,467.951904296875,3.1369144916534424
27,RIGHT,14023301428294605882,10,109.94334411621094,467.951904296875,3.1369144916534424
28,RIGHT,14023301428294605882,12,109.94334411621094,467.951904296875,3.1369144916534424
29,RIGHT,14023301428294605882,13,109.94334411621094,467.951904296875,3.1369144916534424
30,RIGHT,14023301428294605882,17,109.94334411621094,467.951904296875,3.1369144916534424
31,RIGHT,14023301428294605882,290,-405.4818420410156,763.436279296875,2.739863395690918
32,RIGHT,14023301428294605882,291,-404.5380859375,761.3338623046875,2.7540605068206787
33,RIGHT,14023301428294605882,292,-403.2562255859375,758.5223999023438,2.7721641063690186
34,RIGHT,14023301428294605882,293,-402.2755737304688,756.4057006835938,2.7854785919189453
35,RIGHT,14023301428294605882,295,-400.2713928222656,752.1652221679688,2.811347246170044
36,RIGHT,14023301428294605882,297,-399.2535400390625,750.0538940429688,2.8227875232696533
37,RIGHT,14023301428294605882,299,-396.873291015625,745.219970703125,2.843467712402344
38,RIGHT,14023301428294605882,300,-395.85687255859375,743.1990356445312,2.8508646488189697
39,RIGHT,14023301428294605882,302,-393.51019287109375,738.6275634765625,2.8729021549224854
40,RIGHT,14023301428294605882,304,-391.5232238769531,734.8609008789062,2.896079540252685
41,RIGHT,14023301428294605882,307,-389.24029541015625,730.646240234375,2.920391082763672
42,RIGHT,14023301428294605882,578,-172.9122772216797,727.3013916015625,2.6752166748046875
43,RIGHT,14023301428294605882,579,-172.084716796875,726.5038452148438,2.677899122238159
44,RIGHT,14023301428294605882,580,-171.247314453125,725.7005615234375,2.680386066436768
45,RIGHT,14023301428294605882,581,-170.11691284179688,724.6211547851562,2.684718370437622
46,RIGHT,14023301428294605882,582,-169.25869750976562,723.8034057617188,2.6880786418914795
